Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",131.262500,-132.969000,180.000000,top
"C2","10uF","C_0805_2012Metric",131.262500,-139.573000,180.000000,top
"C3","C_Small","C_0402_1005Metric",138.656000,-147.574000,0.000000,top
"C4","C_Small","C_0402_1005Metric",140.843000,-145.161000,270.000000,top
"C6","4.7uF","C_0402_1005Metric",146.050000,-136.870000,0.000000,top
"C7","100nF","C_0402_1005Metric",135.890000,-141.478000,180.000000,top
"C8","100nF","C_0402_1005Metric",137.750000,-143.130000,180.000000,top
"C9","100nF","C_0402_1005Metric",135.862000,-139.192000,180.000000,top
"C10","100nF","C_0402_1005Metric",138.090000,-133.800000,0.000000,top
"C11","100nF","C_0402_1005Metric",146.050000,-135.890000,0.000000,top
"C12","100nF","C_0402_1005Metric",131.930000,-144.610000,180.000000,top
"C13","100nF","C_0402_1005Metric",142.220000,-143.520000,270.000000,top
"D1","LED","LED_0402_1005Metric",140.500000,-151.820000,90.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Plug_Molex_105444",140.000000,-129.000000,0.000000,top
"Q1","Q_NPN_BCE","SOT-23",133.604000,-151.511000,0.000000,top
"R1","5.1k","R_0603_1608Metric",134.302500,-136.271000,270.000000,top
"R2","10k","R_0402_1005Metric",136.654000,-151.511000,180.000000,top
"U1","AP2112K-3.3","SOT-23-5",131.262500,-136.271000,270.000000,top
"U2","STM32F411CEUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",140.970000,-138.430000,90.000000,top
"Y1","Crystal_GND24","Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm",138.684000,-145.669000,90.000000,top
