Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C8,10uF,C_0402_1005Metric,135.41,-99.79,270,bottom
C9,10uF,C_0402_1005Metric,145.28,-99.825,90,bottom
C10,100nF,C_0402_1005Metric,145.53,-93.91,0,bottom
D1,B5819W,D_SOD-123,134.06,-94.24,180,bottom
D2,LED,LED_0805_2012Metric,156.75,-108.5,180,bottom
FB1,100ohm @ 100mHz,L_0805_2012Metric,134.9,-97.13,90,bottom
FB2,100ohm @ 100mHz,L_0805_2012Metric,143.51,-94.8475,270,bottom
U1,AMS1117,SOT-223-3_TabPin2,140.35,-100.37,0,bottom
C1,4.7uF,C_0402_1005Metric,144.1,-104.475,270,top
C2,100nF,C_0402_1005Metric,145.1,-104.47,270,top
C3,100nF,C_0402_1005Metric,145.17,-103.02,0,top
C4,100nF,C_0402_1005Metric,135.72,-103.01,180,top
C5,100nF,C_0402_1005Metric,136.79,-94.51,90,top
C6,100nF,C_0402_1005Metric,135.8,-94.51,90,top
C7,100nF,C_0402_1005Metric,135.72,-104.07,180,top
C11,10nF,C_0402_1005Metric,146.685,-98.01,0,top
C12,30pF,C_0603_1608Metric,142.05,-107.95,90,top
C13,30pF,C_0603_1608Metric,152.89,-108.1575,90,top
R4,270,R_0603_1608Metric,150.12,-104.31,90,top
R5,100,R_0603_1608Metric,150.12,-101.22,90,top
U2,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,140.45,-99.35,180,top
U3,W25N01GV,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,131.17,-106.29,180,top
Y1,8 MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,147.47,-108.18,0,top
